Player,Season,Season Type,Team,Games,Min,Pts,OReb,Dreb,Reb,Ast,Stl,Blk,TO,PF,FGM,FGA,FG%,3PTM,3PTA,3PT%,FTM,FTA,FT%
Russell Westbrook,2016-2017,REG,Thunder,81,34.59,31.58,1.69,8.98,10.67,10.37,1.63,0.38,5.41,2.35,10.17,23.96,0.425,2.47,7.20,0.343,8.77,10.37,0.845
James Harden,2016-2017,REG,Rockets,81,36.38,29.09,1.17,6.96,8.14,11.20,1.49,0.46,5.73,2.65,8.32,18.93,0.440,3.23,9.33,0.347,9.21,10.88,0.847
Isaiah Thomas,2016-2017,REG,Celtics,76,33.81,28.93,0.57,2.13,2.70,5.89,0.92,0.17,2.76,2.20,8.97,19.38,0.463,3.22,8.50,0.379,7.76,8.54,0.909
Anthony Davis,2016-2017,REG,Pelicans,75,36.10,27.99,2.29,9.49,11.79,2.09,1.25,2.23,2.41,2.24,10.27,20.35,0.505,0.53,1.79,0.298,6.92,8.63,0.802
DeMar DeRozan,2016-2017,REG,Raptors,74,35.41,27.30,0.95,4.27,5.22,3.92,1.05,0.18,2.43,1.81,9.74,20.88,0.467,0.45,1.68,0.266,7.36,8.74,0.842
Damian Lillard,2016-2017,REG,Trail Blazers,75,35.91,26.99,0.61,4.29,4.91,5.87,0.91,0.27,2.63,2.03,8.81,19.84,0.444,2.85,7.72,0.370,6.51,7.27,0.895
DeMarcus Cousins,2016-2017,REG,"Kings, Pelicans",72,34.24,26.97,2.11,8.92,11.03,4.61,1.39,1.29,3.74,3.86,8.99,19.89,0.452,1.82,5.04,0.361,7.18,9.31,0.772
LeBron James,2016-2017,REG,Cavaliers,74,37.76,26.41,1.31,7.32,8.64,8.73,1.24,0.59,4.09,1.81,9.95,18.16,0.548,1.68,4.62,0.363,4.84,7.18,0.674
Kawhi Leonard,2016-2017,REG,Spurs,74,33.44,25.51,1.08,4.73,5.81,3.51,1.80,0.74,2.08,1.65,8.59,17.73,0.485,1.99,5.23,0.380,6.34,7.20,0.880
Stephen Curry,2016-2017,REG,Warriors,79,33.40,25.30,0.77,3.70,4.47,6.63,1.80,0.22,3.03,2.32,8.54,18.27,0.468,4.10,9.99,0.411,4.11,4.58,0.898
Kyrie Irving,2016-2017,REG,Cavaliers,72,35.07,25.22,0.72,2.47,3.19,5.81,1.15,0.33,2.50,2.18,9.32,19.72,0.473,2.46,6.13,0.401,4.13,4.56,0.905
Karl-Anthony Towns,2016-2017,REG,Timberwolves,82,36.96,25.13,3.61,8.67,12.28,2.68,0.68,1.26,2.59,2.94,9.78,18.05,0.542,1.23,3.35,0.367,4.34,5.22,0.832
Kevin Durant,2016-2017,REG,Warriors,62,33.39,25.08,0.63,7.65,8.27,4.84,1.06,1.60,2.23,1.89,8.89,16.55,0.537,1.89,5.03,0.375,5.42,6.19,0.875
Jimmy Butler,2016-2017,REG,Bulls,76,36.96,23.89,1.70,4.49,6.18,5.49,1.88,0.42,2.09,1.47,7.50,16.47,0.455,1.20,3.26,0.367,7.70,8.89,0.865
Paul George,2016-2017,REG,Pacers,75,35.86,23.67,0.77,5.79,6.56,3.35,1.59,0.36,2.93,2.75,8.29,17.97,0.461,2.60,6.61,0.393,4.48,4.99,0.898
Andrew Wiggins,2016-2017,REG,Timberwolves,82,37.18,23.57,1.24,2.76,4.00,2.30,1.00,0.37,2.28,2.23,8.65,19.15,0.452,1.26,3.52,0.356,5.02,6.61,0.760
Kemba Walker,2016-2017,REG,Hornets,79,34.67,23.16,0.57,3.33,3.90,5.49,1.08,0.28,2.13,1.51,8.14,18.34,0.444,3.04,7.62,0.399,3.85,4.54,0.847
John Wall,2016-2017,REG,Wizards,78,36.35,23.14,0.76,3.42,4.18,10.65,2.01,0.63,4.13,1.94,8.29,18.40,0.451,1.14,3.49,0.327,5.41,6.76,0.801
Bradley Beal,2016-2017,REG,Wizards,77,34.86,23.10,0.69,2.43,3.12,3.47,1.08,0.27,2.03,2.19,8.27,17.17,0.482,2.90,7.17,0.404,3.66,4.44,0.825
CJ McCollum,2016-2017,REG,Trail Blazers,80,34.95,22.96,0.75,2.86,3.61,3.56,0.90,0.53,2.15,2.53,8.65,18.01,0.480,2.31,5.49,0.421,3.35,3.68,0.912
Giannis Antetokounmpo,2016-2017,REG,Bucks,80,35.57,22.90,1.78,6.98,8.75,5.43,1.64,1.89,2.93,3.08,8.20,15.74,0.521,0.61,2.25,0.272,5.89,7.65,0.770
Carmelo Anthony,2016-2017,REG,Knicks,74,34.30,22.42,0.84,5.08,5.92,2.88,0.81,0.46,2.07,2.68,8.14,18.77,0.433,2.04,5.69,0.359,4.11,4.93,0.833
Kyle Lowry,2016-2017,REG,Raptors,60,37.40,22.40,0.80,3.97,4.77,6.95,1.47,0.32,2.88,2.83,7.10,15.30,0.464,3.22,7.80,0.412,4.98,6.08,0.819
Klay Thompson,2016-2017,REG,Warriors,78,33.96,22.33,0.63,3.03,3.65,2.05,0.85,0.51,1.64,1.78,8.26,17.64,0.468,3.44,8.29,0.414,2.38,2.79,0.853
Devin Booker,2016-2017,REG,Suns,78,35.01,22.13,0.59,2.60,3.19,3.44,0.92,0.27,3.09,3.10,7.77,18.35,0.423,1.88,5.19,0.363,4.71,5.65,0.832
Gordon Hayward,2016-2017,REG,Jazz,73,34.46,21.93,0.67,4.73,5.40,3.45,1.00,0.27,1.92,1.60,7.47,15.84,0.471,2.04,5.12,0.398,4.96,5.88,0.844
Blake Griffin,2016-2017,REG,Clippers,61,34.04,21.57,1.84,6.31,8.15,4.92,0.93,0.36,2.33,2.57,7.85,15.92,0.493,0.62,1.85,0.336,5.25,6.90,0.760
Eric Bledsoe,2016-2017,REG,Suns,66,32.97,21.06,0.79,4.06,4.85,6.33,1.38,0.47,3.39,2.48,6.80,15.67,0.434,1.58,4.70,0.335,5.88,6.94,0.847
Brook Lopez,2016-2017,REG,Nets,75,29.63,20.52,1.61,3.76,5.37,2.35,0.51,1.65,2.45,2.56,7.40,15.63,0.474,1.79,5.16,0.346,3.93,4.85,0.810
Mike Conley,2016-2017,REG,Grizzlies,69,33.22,20.51,0.45,3.04,3.49,6.28,1.33,0.28,2.26,1.83,6.72,14.62,0.460,2.48,6.07,0.408,4.58,5.33,0.859
Goran Dragic,2016-2017,REG,Heat,73,33.69,20.32,0.85,2.97,3.82,5.79,1.22,0.18,2.90,2.73,7.32,15.40,0.475,1.60,3.96,0.405,4.08,5.16,0.790
Joel Embiid,2016-2017,REG,76ers,31,25.36,20.23,1.97,5.87,7.84,2.13,0.87,2.45,3.77,3.61,6.45,13.84,0.466,1.16,3.16,0.367,6.16,7.87,0.783
Jabari Parker,2016-2017,REG,Bucks,51,33.88,20.10,1.55,4.61,6.16,2.78,0.98,0.43,1.82,2.18,7.82,15.96,0.490,1.27,3.49,0.365,3.18,4.27,0.743
Marc Gasol,2016-2017,REG,Grizzlies,74,34.20,19.54,0.81,5.46,6.27,4.57,0.91,1.34,2.24,2.31,7.19,15.68,0.459,1.41,3.62,0.388,3.76,4.49,0.837
Harrison Barnes,2016-2017,REG,Mavericks,79,35.49,19.22,1.18,3.81,4.99,1.47,0.82,0.19,1.29,1.62,7.58,16.20,0.468,0.99,2.81,0.351,3.06,3.56,0.861
Kevin Love,2016-2017,REG,Cavaliers,60,31.41,19.03,2.47,8.63,11.10,1.93,0.88,0.35,2.03,2.08,6.17,14.45,0.427,2.42,6.48,0.373,4.28,4.92,0.871
Zach LaVine,2016-2017,REG,Timberwolves,47,37.21,18.91,0.40,3.00,3.40,2.96,0.87,0.21,1.81,2.21,6.94,15.11,0.459,2.55,6.60,0.387,2.49,2.98,0.836
Rudy Gay,2016-2017,REG,Kings,30,33.77,18.73,1.17,5.17,6.33,2.77,1.47,0.87,2.47,2.63,6.70,14.73,0.455,1.40,3.77,0.372,3.93,4.60,0.855
Dwyane Wade,2016-2017,REG,Bulls,60,29.87,18.27,1.05,3.45,4.50,3.80,1.43,0.68,2.30,1.87,6.90,15.92,0.434,0.75,2.42,0.310,3.72,4.68,0.794
Danilo Gallinari,2016-2017,REG,Nuggets,63,33.87,18.17,0.62,4.54,5.16,2.14,0.63,0.24,1.30,1.48,5.32,11.90,0.447,2.00,5.14,0.389,5.54,6.14,0.902
